"year","month","region","subregion","country","passenger_count","ctry_cntr_long","ctry_cntr_lat"
2014,"april","Europe","Northern Europe","United Kingdom",13138,-161.96267027027,52.9356972972973
2014,"april","Europe","Southern Europe","Greece",114,-136.79204,38.98216
2014,"april","Europe","Southern Europe","Italy",1528,-147.610994923858,42.7972182741117
2014,"april","Europe","Southern Europe","Portugal",243,-168.546278538813,39.9041552511416
2014,"april","Europe","Southern Europe","Spain",1445,-162.8159375,40.0899421296296
2014,"april","Europe","Western Europe","Andorra",78,-158.461428571429,42.5342857142857
2014,"april","Europe","Western Europe","Austria",1004,-145.891361702128,47.6804680851064
2014,"april","Europe","Western Europe","Belgium",1159,-155.426974637681,50.7387862318841
2014,"april","Europe","Western Europe","France",3723,-157.2156,47.37819
2014,"april","Europe","Western Europe","Germany",6379,-150.696603206413,50.8155811623246
2014,"april","Europe","Western Europe","Luxembourg",74,-153.907505285412,49.7718181818182
2014,"april","Europe","Western Europe","Netherlands",2114,-154.601603773585,52.0650943396226
2014,"april","Europe","Western Europe","Switzerland",2784,-151.942360774818,47.0366101694915
2014,"april","Others & Unspecified","Others & Unspecified","Residences",4058,NA,NA
2014,"may","Africa","Africa","Nigeria",96,-152.464510556622,9.04612284069098
2014,"may","Africa","Africa","South Africa",311,-132.876814159292,-28.5941592920354
2014,"may","America","North America","Canada",13732,112.832333696838,48.1319847328244
2014,"may","America","North America","Mexico",189,100.133599574015,20.7982747603834
2014,"may","America","North America","USA",67507,104.870802407222,37.4450351053159
2014,"may","America","South America","Argentina",107,137.710731707317,-33.5251219512195
2014,"may","America","South America","Brazil",221,153.832635897436,-17.5192102564103
2014,"may","America","South America","Colombia",81,125.168682877406,5.70347517730496
2014,"may","America","South America","Peru",28,123.582095588235,-9.93136029411765
2014,"may","America","South America","Venezuela",17,131.974711538462,9.79432692307692
2014,"may","Asia","ASEAN","Brunei",892,-45.374,4.73
2014,"may","Asia","ASEAN","Cambodia",266,-55.1844,12.2416
2014,"may","Asia","ASEAN","Indonesia",3859,-49.7179831932773,-5.32147058823529
2014,"may","Asia","ASEAN","Laos",93,-55.9455555555555,18.0761111111111
2014,"may","Asia","ASEAN","Malaysia",10142,-56.2003067484662,3.87441717791411
2014,"may","Asia","ASEAN","Myanmar",581,-63.8993939393939,18.9172727272727
2014,"may","Asia","ASEAN","Singapore",14424,-56.15,1.3
2014,"may","Asia","ASEAN","Thailand",4014,-58.8763822525597,14.4172354948805
2014,"may","Asia","ASEAN","Vietnam",2266,-53.5057352941176,16.3188235294118
2014,"may","Asia","East Asia","China",31424,-44.1156278026906,34.0535201793722
2014,"may","Asia","East Asia","Hongkong",8430,NA,NA
2014,"may","Asia","East Asia","Japan",35496,-23.1284684684684,35.605975975976
2014,"may","Asia","East Asia","Korea",73984,-32.3073484848485,36.3019696969697
2014,"may","Asia","East Asia","Macau",541,NA,NA
2014,"may","Asia","East Asia","Taiwan",9810,-39.2136734693877,24.0868367346939
2014,"may","Asia","Middle East","Bahrain",321,-109.447272727273,26.1736363636364
2014,"may","Asia","Middle East","Egypt",143,-128.630588235294,29.4472549019608
2014,"may","Asia","Middle East","Jordan",68,-124.15642384106,32.0415894039735
