"month","region","subregion","country","ctry_cntr_long","ctry_cntr_lat","y2014","y2015","y2016","y2017","y2018"
"april","Australasia & The Pacific","Australasia & The Pacific","Australia",-15.7823004694836,-30.319014084507,21464,21993,23553,18824,23623
"april","Australasia & The Pacific","Australasia & The Pacific","Guam",-15.2292592592593,13.4496296296296,3312,2874,3089,2390,3190
"april","Australasia & The Pacific","Australasia & The Pacific","Nauru",6.90999999999997,-0.55,1,4,1,2,0
"april","Australasia & The Pacific","Australasia & The Pacific","New Zealand",13.6360507246377,-40.5059420289855,1375,1703,1724,2057,2503
"april","Australasia & The Pacific","Australasia & The Pacific","Papua New Guinea",-13.0243902439024,-6.12756097560976,469,488,553,535,594
"april","Europe","Eastern Europe","Commonwealth Of Independent States",NA,NA,518,0,860,843,857
"april","Europe","Eastern Europe","Poland",-141.010615034169,51.843735763098,414,0,653,1002,0
"april","Europe","Eastern Europe","Russian Federation",-104.664588832487,53.6329137055838,2167,0,1988,2709,0
"april","Europe","Eastern Mediterranean Europe","Israel",-124.919067357513,32.3195336787565,791,0,1713,2043,0
"april","Europe","Eastern Mediterranean Europe","Turkey",-125.645423514539,39.2837547408344,300,0,568,573,720
"april","Europe","Northern Europe","Denmark",-149.482451612903,55.8588709677419,1243,0,1276,1948,0
"april","Europe","Northern Europe","Finland",-135.20176744186,62.2486046511628,422,0,382,637,532
"april","Europe","Northern Europe","Ireland",-167.659333333333,53.1170909090909,1128,0,1122,1722,0
"april","Europe","Northern Europe","Norway",-149.670952380952,62.0989355742297,1630,0,1274,1956,0
"april","Europe","Northern Europe","Sweden",-144.479326923077,58.9549038461538,1393,0,1718,2285,0
"april","Europe","Northern Europe","United Kingdom",-161.96267027027,52.9356972972973,13138,0,13942,20835,17913
"april","Europe","Southern Europe","Greece",-136.79204,38.98216,114,0,187,268,234
"april","Europe","Southern Europe","Italy",-147.610994923858,42.7972182741117,1528,0,1922,2887,0
"april","Europe","Southern Europe","Portugal",-168.546278538813,39.9041552511416,243,0,238,516,541
"april","Europe","Southern Europe","Spain",-162.8159375,40.0899421296296,1445,0,2186,3612,0
"april","Europe","Western Europe","Andorra",-158.461428571429,42.5342857142857,78,0,28,17,30
"april","Europe","Western Europe","Austria",-145.891361702128,47.6804680851064,1004,0,998,1222,0
"april","Europe","Western Europe","Belgium",-155.426974637681,50.7387862318841,1159,0,1025,1594,0
"april","Europe","Western Europe","France",-157.2156,47.37819,3723,0,5563,7563,0
"april","Europe","Western Europe","Germany",-150.696603206413,50.8155811623246,6379,0,7018,8296,0
"april","Europe","Western Europe","Luxembourg",-153.907505285412,49.7718181818182,74,0,63,86,95
"april","Europe","Western Europe","Netherlands",-154.601603773585,52.0650943396226,2114,0,2848,3337,0
"april","Europe","Western Europe","Switzerland",-151.942360774818,47.0366101694915,2784,0,2738,3547,0
"april","Others & Unspecified","Others & Unspecified","Residences",NA,NA,4058,4501,5651,5914,7058
"may","Africa","Africa","Nigeria",-152.464510556622,9.04612284069098,96,117,129,94,141
